name,constellation,RA_deg,Dec_deg,magnitude,Distance_ly
* alf CMi,Canis Minor,114.82549791666666,5.2249875,0.3700000047683716,3.5141973573235874
* del Cap,Capricornus,326.76018416666665,-16.127286944444446,2.8299999237060547,11.866619200189866
* gam Cap,Capricornus,325.0226891666666,-16.66237111111111,3.6700000762939453,52.345880640922964
* tet Cap,Capricornus,316.48678499999994,-17.232862777777775,4.070000171661377,45.651886107674535
* alf02 Cap,Capricornus,304.5135645833333,-12.544851944444444,3.5799999237060547,33.42916360232667
* ome Cap,Capricornus,312.9553770833333,-26.919134722222225,4.119999885559082,169.5633743111488
* zet Cap,Capricornus,321.66679416666665,-22.411320277777776,3.740000009536743,135.66496181031326
* bet01 Cap,Capricornus,305.2527770833333,-14.7814075,3.0799999237060547,119.09582450039302
* psi Cap,Capricornus,311.52388708333325,-25.270898055555556,4.122000217437744,14.633361136719492
* eps Cap,Capricornus,324.2701295833333,-19.46601111111111,4.550000190734863,271.9090736057862
* iot Car,Carina,139.27252833333333,-59.27523194444444,2.259999990463257,234.7417840375587
* ome Car,Carina,153.43425208333332,-70.03790638888889,3.3299999237060547,120.51387114656896
* y Car,Carina,168.15005499999995,-60.31762611111112,4.619999885559082,2543.23499491353
* u Car,Carina,163.3735670833333,-58.85317027777778,3.7899999618530273,29.830710716682823
* x Car,Carina,167.14745291666662,-58.97503861111111,3.8299999237060547,4488.3303411131055
* z Car,Carina,166.63510999999997,-62.42411388888889,4.605999946594238,117.55578021771329
* gam02 Vel,Vela,122.38312541666666,-47.33658611111111,1.8300000429153442,342.4657534246575
* alf Car,Puppis,95.9879575,-52.69566138888889,-0.7400000095367432,94.78672985781989
* del Vel,Vela,131.17594291666663,-54.708820833333334,NaN,24.69745616201531
* eps Car,Carina,125.62848,-59.50948416666667,1.8600000143051147,185.5287569573284
* tet Car,Carina,160.7391745833333,-64.39445,2.759999990463257,139.66480446927375
* q Car,Carina,154.27073124999998,-61.332304444444446,3.3499999046325684,232.3096222645542
* chi Car,Carina,119.19466666666665,-52.98234527777778,3.430999994277954,175.87983889406757
* bet Car,Carina,138.29990583333333,-69.7172075,1.690000057220459,34.698126301179734
* p Car,Carina,158.00610416666663,-61.68533194444444,3.2699999809265137,155.18793258636208
* alf Cas,Cassiopeia,10.126845833333332,56.537329166666666,2.2300000190734863,70.96728408203819
* del Cas,Cassiopeia,21.453964166666665,60.23528388888889,2.680000066757202,30.478512648582747
* gam Cas,Cassiopeia,14.1772125,60.71674,2.390000104904175,168.35016835016833
* bet Cas,Cassiopeia,2.29452125,59.14978111111111,2.2699999809265137,16.784155756965426
* eps Cas,Cassiopeia,28.59889166666666,63.6701,3.369999885559082,142.7816725445122
* ups01 Cen,Centaurus,209.6697858333333,-44.80358555555555,3.869999885559082,131.06159895150722
* psi Cen,Centaurus,215.13930124999996,-37.88529194444445,4.033999919891357,75.74265674942814
* d Cen,Centaurus,202.76106875,-39.407305,3.880000114440918,277.77777777777777
* del Cen,Centaurus,182.0895733333333,-50.72242722222222,2.5199999809265137,174.8893824655905
* gam Cen,Centaurus,190.3793333333333,-48.95987138888889,2.1700000762939453,39.904229848363926
* alf Cen A,Centaurus,219.9020583333333,-60.8339925,0.009999999776482582,1.3474909718104888
* pi. Cen,Centaurus,170.2517375,-54.491101111111114,NaN,71.63426410120489
* kap Cen,Centaurus,224.79035374999998,-42.104196111111115,3.109999895095825,117.50881316098707
* l Cen,Centaurus,189.96887124999998,-39.98730166666667,4.639999866485596,102.69049086054632
* zet Cen,Centaurus,208.88493999999997,-47.28837444444444,2.549999952316284,117.096018735363
* eta Cen,Centaurus,218.8767670833333,-42.157824999999995,2.309999942779541,93.72071227741331
* eps Cen,Centaurus,204.97190708333332,-53.466391111111115,2.299999952316284,131.06159895150722
* tet Cen,Centaurus,211.6706145833333,-36.369954722222225,2.049999952316284,18.034265103697024
* bet Cen,Centaurus,210.95585541666665,-60.373035,0.5799999833106995,120.1923076923077
* rho Cen,Centaurus,182.91299874999999,-52.36844,3.9600000381469727,80.19760690340999
* sig Cen,Centaurus,187.00992541666665,-50.23063777777778,3.9100000858306885,126.184557533849
* omi01 Cen,Centaurus,172.94195249999999,-59.44206055555555,5.0970001220703125,3073.1407498463427
* phi Cen,Centaurus,209.56777541666665,-42.10075666666667,3.802000045776367,140.8411030675192
* chi Cen,Centaurus,211.5115333333333,-41.179632777777776,4.3429999351501465,154.12595172775193
* nu. Cen,Centaurus,207.37615208333332,-41.68770833333333,3.385999917984009,124.2606491376311
* iot Cen,Centaurus,200.14921999999999,-36.71230444444445,2.7300000190734863,17.838953495632133
* zet Cep,Cepheus,332.7136570833333,58.20126166666667,3.3499999046325684,303.2876379958753
* tet Cep,Cepheus,307.3954383333333,62.99411027777778,4.21999979019165,42.587624036455004
* eta Cep,Cepheus,311.32239624999994,61.83878166666667,3.4100000858306885,14.368311550973022
* eps Cep,Cepheus,333.75915499999996,57.04356833333333,NaN,26.205588079602098
* mu. Cep,Cepheus,325.8769145833333,58.78004583333333,4.079999923706055,8403.361344537816
* alf Cep,Cepheus,319.6448845833333,62.58557444444445,2.4600000381469727,15.037593984962406
* del Cep,Cepheus,337.2927608333333,58.41519361111111,3.75,281.286039773846
* gam Cep,Cepheus,354.8371266666666,77.63236388888888,NaN,13.789927009916337
* bet Cep,Cepheus,322.1649866666666,70.560715,3.2300000190734863,210.0840336134454
* iot Cep,Cepheus,342.4200725,66.200405,3.5399999618530273,36.64762211903881
* zet Cet,Cetus,27.865130416666666,-10.335030833333334,3.7200000286102295,77.65783955890346
* tau Cet,Cetus,26.017012916666665,-15.937479722222223,3.5,3.652171562950472
* del Cet,Cetus,39.87065333333333,0.32850861111111107,4.070000171661377,194.88618646710322
* omi Cet,Cetus,34.83663375,-2.9776375,6.53000020980835,91.6590284142988
* tet Cet,Cetus,21.005846666666663,-8.183260833333332,3.5899999141693115,34.44249652991848
* gam Cet,Cetus,40.82516291666666,3.235816388888889,3.4700000286102295,24.4081034903588
* lam Cet,Cetus,44.928718749999994,8.907385833333334,4.699999809265137,136.59895911593154
* bet Cet,Cetus,10.89737875,-17.98660611111111,2.009999990463257,29.533372711163615
* mu. Cet,Cetus,41.23557208333333,10.114144722222221,4.260000228881836,26.60112150328258
* ksi02 Cet,Cetus,37.03982083333333,8.460059999999999,4.300000190734863,60.35695100826286
* eta Cet,Cetus,17.147463749999996,-10.182264166666666,3.450000047683716,36.95450530851468
* iot Cet,Cetus,4.856976249999999,-8.823918888888889,3.549999952316284,85.47300762419228
* alf Cet,Cetus,45.56988749999999,4.089738611111111,2.5299999713897705,76.39419404125286
* gam Cha,Chamaeleon,158.86710624999998,-78.60778833333333,4.119999885559082,136.02851157602635
* eps Cha,Chamaeleon,179.90656791666663,-78.22183805555555,NaN,110.86474501108648
* bet Cha,Chamaeleon,184.5867695833333,-79.31223388888888,4.229000091552734,93.3567347548452
* alf Cha,Chamaeleon,124.63146833333334,-76.9197238888889,4.046999931335449,19.48664385430226
* del02 Cha,Chamaeleon,161.44585958333332,-80.54018805555556,4.433000087738037,114.58297526153565
* alf Cir,Circinus,220.62675249999995,-64.97513277777777,3.190000057220459,16.39532405357992
* gam Cir,Circinus,230.8443454166666,-59.32078138888889,NaN,137.5515818431912
* bet Cir,Circinus,229.37853916666663,-58.801206944444445,4.057000160217285,29.567865643618514
* alf Col,Columba,84.91225416666667,-34.074109444444446,2.6500000953674316,87.71314293733772
* gam Col,Columba,89.38420833333332,-35.28328083333333,4.360000133514404,323.4361860404942
* eta Col,Columba,89.7866875,-42.81513222222222,3.9600000381469727,135.09679685494658
* del Col,Columba,95.52843708333332,-33.43639888888889,3.8499999046325684,66.44959797993222
* bet Col,Columba,87.73996749999999,-35.76830944444444,3.119999885559082,27.097480476265318
* eps Col,Columba,82.80311416666666,-35.47050638888889,3.869999885559082,85.25149190110827
* gam Com,Coma Berenices,186.73446875,28.268421666666665,4.340000152587891,50.34207439551754
* alf Com,Coma Berenices,197.49702166666665,17.529455,4.320000171661377,17.825311942959
* bet Com,Coma Berenices,197.96830749999998,27.878183888888888,4.25,9.197516670498965
* alf CrA,Corona Australis,287.36808958333324,-37.90447416666667,4.086999893188477,36.91617075943947
* del CrA,Corona Australis,287.0873733333333,-40.496697777777776,4.571000099182129,56.63091368316136
* tet CrA,Corona Australis,278.37577375,-42.312508055555554,4.613999843597412,162.14550938011772
* gam CrA,Corona Australis,286.60462541666664,-37.06344166666666,4.210000038146973,17.304031839418585
* bet CrA,Corona Australis,287.5073195833333,-39.3407925,4.09499979019165,170.5175206752494
* gam CrB A,Corona Borealis,235.68570541666662,26.29563416666667,4.050000190734863,NaN
* tet CrB,Corona Borealis,233.23242541666664,31.359132222222225,4.130000114440918,115.07479861910242
* eps CrB,Corona Borealis,239.39688083333328,26.877879444444446,4.130000114440918,74.11689717021686
* bet CrB,Corona Borealis,231.95730833333332,29.10569277777778,3.680000066757202,35.80943650270719
* del CrB,Corona Borealis,237.39852874999997,26.068392777777778,4.630000114440918,51.29125740517529
* alf CrB,Corona Borealis,233.67195166666664,26.714685,2.240000009536743,23.67379405693074
